Johnny Bench
Roberto Clemente
Bob Gibson
Josh Gibson
Ken Griffey Jr.
Lefty Grove
Nap Lajoie
Pedro Martinez
Joe Morgan
Sandy Koufax
Satchel Paige
Albert Pujols
Frank Robinson
Jackie Robinson
Pete Rose
Cal Ripken Junior
Nolan Ryan
Tom Seaver
Mike Schmidt
Warren Spahn
Grover Cleveland Alexander
Jimmie Foxx
Mel Ott
Rickey Henderson
Eddie Collins
Alex Rodriguez
Randy Johnson
Christy Mathewson
Joe DiMaggio
Greg Maddux
Roger Clemens
Tris Speaker
Mickey Mantle
Honus Wagner
Stan Musial
Rogers Hornsby
Cy Young
Walter Johnson
Lou Gehrig
Ty Cobb
Hank Aaron
Ted Williams
Barry Bonds
Willie Mays
Babe Ruth
